train/loss,epoch,train/epoch_loss,val/epoch_loss,val/mse,val/accuracy
0.264984130859375,,,,,
0.25238609313964844,,,,,
0.2315710186958313,,,,,
0.20519718527793884,,,,,
0.20327621698379517,,,,,
0.19138403236865997,,,,,
0.17524445056915283,,,,,
0.1801343858242035,,,,,
0.170322448015213,,,,,
0.16076040267944336,,,,,
0.16620245575904846,,,,,
0.16090041399002075,,,,,
0.1538429856300354,,,,,
0.1509016454219818,,,,,
0.1535625159740448,,,,,
0.15036779642105103,,,,,
0.14622846245765686,,,,,
0.14864718914031982,,,,,
0.14489108324050903,,,,,
0.143447607755661,,,,,
0.14969706535339355,,,,,
0.1420574188232422,,,,,
0.1393294632434845,,,,,
0.14532151818275452,,,,,
0.14013412594795227,,,,,
0.13942870497703552,,,,,
0.1418892741203308,,,,,
0.138119176030159,,,,,
0.13642846047878265,,,,,
0.13588175177574158,,,,,
0.14123103022575378,,,,,
0.13348646461963654,,,,,
0.13770821690559387,,,,,
0.13489586114883423,,,,,
0.13547205924987793,,,,,
0.13769963383674622,,,,,
0.13196033239364624,,,,,
0.13135991990566254,,,,,
0.13365864753723145,,,,,
0.1315242201089859,,,,,
0.1366504579782486,,,,,
0.13338741660118103,,,,,
0.13189545273780823,,,,,
0.1331830769777298,,,,,
0.13165563344955444,,,,,
0.1316034495830536,,,,,
0.129006028175354,,,,,
0.127857506275177,,,,,
0.12897521257400513,,,,,
0.13229931890964508,,,,,
0.13039779663085938,,,,,
0.12990215420722961,,,,,
0.13127988576889038,,,,,
0.12972337007522583,,,,,
0.1284967064857483,,,,,
0.1292751282453537,,,,,
0.12880106270313263,,,,,
0.1288263499736786,,,,,
0.1287849247455597,,,,,
0.12908042967319489,,,,,
0.13039261102676392,,,,,
0.12633219361305237,,,,,
0.12998610734939575,,,,,
0.1305522918701172,,,,,
0.12489431351423264,,,,,
0.12802080810070038,,,,,
0.12807580828666687,,,,,
0.1287330836057663,,,,,
0.1297064870595932,,,,,
0.12371398508548737,,,,,
0.12400447577238083,,,,,
0.12670153379440308,,,,,
0.1271655559539795,,,,,
0.1265479475259781,,,,,
0.12463924288749695,,,,,
0.12489184737205505,,,,,
0.1236908882856369,,,,,
0.12459194660186768,,,,,
0.12428972125053406,,,,,
0.12731420993804932,,,,,
0.12639473378658295,,,,,
0.12412036210298538,,,,,
0.12379281967878342,,,,,
0.12403181195259094,,,,,
0.12499970197677612,,,,,
0.12397141009569168,,,,,
0.12322226166725159,,,,,
0.12180735915899277,,,,,
0.12253686785697937,,,,,
0.12355861067771912,,,,,
0.12243199348449707,,,,,
0.12328656017780304,,,,,
0.12124058604240417,,,,,
0.121760793030262,,,,,
0.1222028136253357,,,,,
0.1221003457903862,,,,,
0.12216884642839432,,,,,
0.12160972505807877,,,,,
0.1220608502626419,,,,,
0.12560895085334778,,,,,
0.11990474164485931,,,,,
0.12140493839979172,,,,,
0.12571516633033752,,,,,
0.12311215698719025,,,,,
0.1233164593577385,,,,,
0.12098550796508789,,,,,
0.12385942041873932,,,,,
0.12192423641681671,,,,,
0.12363581359386444,,,,,
0.12107257544994354,,,,,
0.1216258555650711,,,,,
0.11964437365531921,,,,,
0.11989328265190125,,,,,
0.12167547643184662,,,,,
0.12435545027256012,,,,,
0.12211662530899048,,,,,
0.11795564740896225,,,,,
0.12091273814439774,,,,,
0.11663474142551422,,,,,
0.12320549041032791,,,,,
0.11699563264846802,,,,,
0.12183237075805664,,,,,
0.11671191453933716,,,,,
0.1252911239862442,,,,,
0.1173401027917862,,,,,
0.12115663290023804,,,,,
0.11878323554992676,,,,,
0.11986100673675537,,,,,
0.12451274693012238,,,,,
0.11812029778957367,,,,,
0.11828003823757172,,,,,
0.11788728088140488,,,,,
0.11516547948122025,,,,,
0.11878001689910889,,,,,
0.11880765855312347,,,,,
0.11920233070850372,,,,,
0.11664965748786926,,,,,
0.11715801805257797,,,,,
0.11900901049375534,,,,,
0.11948799341917038,,,,,
0.119388148188591,,,,,
0.12043669074773788,,,,,
0.11832331120967865,,,,,
0.11655404418706894,,,,,
0.1188274621963501,,,,,
0.11775148659944534,,,,,
0.11808864772319794,,,,,
0.11660745739936829,,,,,
0.11998412013053894,,,,,
0.11590150743722916,,,,,
0.11742829531431198,,,,,
0.11703518778085709,,,,,
0.12071913480758667,,,,,
0.11830219626426697,,,,,
0.11902972310781479,,,,,
0.11519195139408112,,,,,
0.1164150983095169,,,,,
0.11627757549285889,,,,,
0.11847206950187683,,,,,
0.115578293800354,,,,,
0.11881411075592041,,,,,
0.11580106616020203,,,,,
0.11495966464281082,,,,,
0.11746607720851898,,,,,
0.11751262843608856,,,,,
0.11473317444324493,,,,,
0.11798594146966934,,,,,
0.1165456771850586,,,,,
0.116679847240448,,,,,
0.11572407931089401,,,,,
0.1136598214507103,,,,,
0.11796855926513672,,,,,
0.11590278148651123,,,,,
0.11952881515026093,,,,,
0.11473605781793594,,,,,
0.11284241080284119,,,,,
0.11293432116508484,,,,,
0.11554475128650665,,,,,
0.11483249068260193,,,,,
0.11548425257205963,,,,,
0.11361668258905411,,,,,
0.11710719764232635,,,,,
0.11624932289123535,,,,,
0.11321281641721725,,,,,
0.1130262166261673,,,,,
0.11572964489459991,,,,,
0.11483848839998245,,,,,
0.11478868126869202,,,,,
0.11356816440820694,,,,,
0.11458314210176468,,,,,
0.11380971968173981,,,,,
0.11304125189781189,,,,,
0.11403509974479675,,,,,
0.11215002834796906,,,,,
0.11458632349967957,,,,,
0.11086767166852951,,,,,
0.11365019530057907,,,,,
0.11245797574520111,,,,,
0.11309412866830826,,,,,
0.11617323756217957,,,,,
0.11427837610244751,,,,,
0.11499501764774323,,,,,
0.1144838035106659,,,,,
0.11067411303520203,,,,,
0.11456696689128876,,,,,
0.11485983431339264,,,,,
0.11337924003601074,,,,,
0.11738377809524536,,,,,
0.11332006752490997,,,,,
0.11194102466106415,,,,,
0.11570578813552856,,,,,
0.11470358073711395,,,,,
0.11169405281543732,,,,,
0.11267560720443726,,,,,
0.1151861846446991,,,,,
0.11206468939781189,,,,,
0.11094406992197037,,,,,
0.11229769885540009,,,,,
0.11226411163806915,,,,,
0.11511534452438354,,,,,
0.11339268088340759,,,,,
0.11462493985891342,,,,,
0.1106918528676033,,,,,
0.11441420018672943,,,,,
0.11303378641605377,,,,,
0.11217272281646729,,,,,
0.11500253528356552,,,,,
0.11085284501314163,,,,,
0.11349484324455261,,,,,
0.11154569685459137,,,,,
0.11368456482887268,,,,,
0.11304853111505508,,,,,
0.11351902782917023,,,,,
0.11190024018287659,,,,,
0.11306482553482056,,,,,
0.11077908426523209,,,,,
0.11536863446235657,,,,,
0.11418569087982178,,,,,
0.11383719742298126,,,,,
0.11462890356779099,,,,,
0.11390650272369385,,,,,
0.11366867274045944,,,,,
0.11329971253871918,,,,,
0.11266249418258667,,,,,
0.11259306222200394,,,,,
0.11020304262638092,,,,,
0.112090103328228,,,,,
0.10999417304992676,,,,,
0.1141350269317627,,,,,
0.11222236603498459,,,,,
0.11014153063297272,,,,,
0.1131025031208992,,,,,
0.11131185293197632,,,,,
0.11127167195081711,,,,,
0.11377012729644775,,,,,
0.11138400435447693,,,,,
0.11144732683897018,,,,,
0.11146438121795654,,,,,
0.1116880401968956,,,,,
0.11284472793340683,,,,,
0.11067008972167969,,,,,
0.11193357408046722,,,,,
0.11307694762945175,,,,,
0.10917768627405167,,,,,
0.10937464237213135,,,,,
0.11281296610832214,,,,,
0.11068215221166611,,,,,
0.11090394109487534,,,,,
0.11142155528068542,,,,,
0.1112944483757019,,,,,
0.10919137299060822,,,,,
0.10843940824270248,,,,,
0.10944217443466187,,,,,
0.1108507364988327,,,,,
0.10947680473327637,,,,,
0.10932373255491257,,,,,
0.11257438361644745,,,,,
0.10965282469987869,,,,,
0.11375507712364197,,,,,
0.10952121764421463,,,,,
0.10737872123718262,,,,,
0.10903877764940262,,,,,
0.10914961993694305,,,,,
0.10887022316455841,,,,,
0.11043771356344223,,,,,
0.10943901538848877,,,,,
0.11182025820016861,,,,,
0.11059270799160004,,,,,
0.10907188057899475,,,,,
0.11056795716285706,,,,,
0.106966033577919,,,,,
0.10945741087198257,,,,,
0.10966774821281433,,,,,
0.11026233434677124,,,,,
0.11083675920963287,,,,,
0.11124558001756668,,,,,
0.11217904090881348,,,,,
0.10855516046285629,,,,,
0.1113322451710701,,,,,
0.10843896865844727,,,,,
0.11364806443452835,,,,,
0.10847901552915573,,,,,
0.11229536682367325,,,,,
0.1120423749089241,,,,,
0.11152705550193787,,,,,
0.10927855223417282,,,,,
0.11142605543136597,,,,,
0.10787256062030792,,,,,
0.10807149112224579,,,,,
0.11058047413825989,,,,,
0.1080484688282013,,,,,
0.10941536724567413,,,,,
0.11056609451770782,,,,,
0.10814443230628967,,,,,
0.10946086049079895,,,,,
0.10858798027038574,,,,,
0.10861052572727203,,,,,
0.10932282358407974,,,,,
0.10805526375770569,,,,,
0.1098363921046257,,,,,
0.10764089226722717,,,,,
0.10674047470092773,,,,,
0.10940525680780411,,,,,
0.10771253705024719,,,,,
0.10881849378347397,,,,,
0.1077663004398346,,,,,
0.1078486293554306,,,,,
0.10909634828567505,,,,,
0.10960693657398224,,,,,
0.10897476971149445,,,,,
0.10807426273822784,,,,,
0.10733779519796371,,,,,
0.11184393614530563,,,,,
0.10811513662338257,,,,,
0.10736153274774551,,,,,
0.10861142724752426,,,,,
0.1107402890920639,,,,,
0.10942675173282623,,,,,
0.1086646318435669,,,,,
0.10696263611316681,,,,,
0.10868684947490692,,,,,
0.10487676411867142,,,,,
0.10656388103961945,,,,,
0.10834634304046631,,,,,
0.1082727462053299,,,,,
0.10807359218597412,,,,,
0.10513405501842499,,,,,
0.1070396900177002,,,,,
0.10699982196092606,,,,,
0.10906677693128586,,,,,
0.10799320042133331,,,,,
0.10958947241306305,,,,,
0.10881676524877548,,,,,
0.11067280173301697,,,,,
0.10632553696632385,,,,,
0.10581746697425842,,,,,
0.10504315048456192,,,,,
0.10692241787910461,,,,,
0.10970477014780045,,,,,
0.10826916992664337,,,,,
0.10767100751399994,,,,,
0.10772663354873657,,,,,
0.10741442441940308,,,,,
0.10535842180252075,,,,,
0.10438275337219238,,,,,
0.10648761689662933,,,,,
0.10620341449975967,,,,,
0.10935648530721664,,,,,
0.10784194618463516,,,,,
0.10713071376085281,,,,,
0.1087801605463028,,,,,
0.10615366697311401,,,,,
0.11030135303735733,,,,,
0.1068144291639328,,,,,
0.10853534936904907,,,,,
0.10839676856994629,,,,,
0.10849359631538391,,,,,
0.10981425642967224,,,,,
0.10879954695701599,,,,,
0.10629799216985703,,,,,
0.10725454241037369,,,,,
0.11173899471759796,,,,,
0.1069064661860466,,,,,
0.10804811120033264,,,,,
0.10699091851711273,,,,,
0.11034761369228363,,,,,
0.11132076382637024,,,,,
0.11112606525421143,,,,,
0.11061827838420868,,,,,
0.10844598710536957,,,,,
0.10595700889825821,,,,,
0.1090574711561203,,,,,
0.10891848057508469,,,,,
0.10862353444099426,,,,,
0.10666187107563019,,,,,
0.11087755113840103,,,,,
0.11065742373466492,,,,,
0.11098646372556686,,,,,
0.10816990584135056,,,,,
0.10857228934764862,,,,,
0.10907396674156189,,,,,
0.1079021468758583,,,,,
0.10887861996889114,,,,,
0.10760731995105743,,,,,
0.1088247001171112,,,,,
0.1088411808013916,,,,,
0.10753489285707474,,,,,
0.10935632884502411,,,,,
0.10809247195720673,,,,,
0.1083582267165184,,,,,
0.10621188580989838,,,,,
0.1066434383392334,,,,,
0.10496199876070023,,,,,
0.10706298053264618,,,,,
0.10675519704818726,,,,,
0.10557923465967178,,,,,
0.10507377982139587,,,,,
0.10557567328214645,,,,,
0.10679668188095093,,,,,
0.10610347986221313,,,,,
0.10819441080093384,,,,,
0.10539469122886658,,,,,
0.10406263917684555,,,,,
0.10644181072711945,,,,,
0.10593074560165405,,,,,
0.1087130755186081,,,,,
0.1076335608959198,,,,,
0.10877293348312378,,,,,
0.10540632903575897,,,,,
0.11016024649143219,,,,,
0.10661840438842773,,,,,
0.10656167566776276,,,,,
0.10524975508451462,,,,,
0.10783842951059341,,,,,
0.10779255628585815,,,,,
0.10780304670333862,,,,,
0.1070733517408371,,,,,
0.10541582107543945,,,,,
0.10353407263755798,,,,,
0.10583385825157166,,,,,
0.10685762763023376,,,,,
0.10678421705961227,,,,,
0.1028238832950592,,,,,
0.10415702313184738,,,,,
0.10343155264854431,,,,,
0.10776113718748093,,,,,
0.10511885583400726,,,,,
0.10364972800016403,,,,,
0.1078571304678917,,,,,
0.10428109019994736,,,,,
0.10789303481578827,,,,,
0.10528393089771271,,,,,
0.10386031866073608,,,,,
0.10490336269140244,,,,,
0.10466326028108597,,,,,
0.10437750816345215,,,,,
0.10389939695596695,,,,,
,1.0,0.1177307722882242,0.10673721787864215,0.022031582570443416,0.8539449407629771
